Qty, PROD_ID, Names, Value, Package
9, CAP-00810, C1; C2; C4; C5; C7; C11; C12; C13; C17, 0.1uF, 0603
2, CAP-11015, C3; C14, 10uF, 0603
2, CAP-00811, C6; C10, 10uF, EIA3216
1, CAP-00867, C8, 10nF, 0603
1, CAP-08478, C9, 47uF, PANASONIC_D
2, CAP-14106, C15; C16, 4.7uF, 0603
1, DIO-08053, D1, 1A/40V/500mV, SMA-DIODE
1, DIO-00862, D2, GREEN, LED-1206-HIDDENSILK
1, DIO-09909, D3, YELLOW, LED-1206-HIDDENSILK
1, DIO-09912, D4, RED, LED-1206-HIDDENSILK
1, DIO-00862, D5, PWR, LED-1206-HIDDENSILK
1, DIO-09911, D6, BLUE, LED-1206-HIDDENSILK
1, RES-14313, F1, 6V/2A, 1210
1, CONN-08106, J1, 5.5x2.1mm Barrel, POWER_JACK_SMD
1, CONN-14122, J2, USB C, USB-C-16P-2LAYER-PADS
1, CONN-11219, J5, M10NO_SILK, 1X10_NO_SILK
1, CONN-11219, J6, , 1X10_SMD_COMBINED
2, CONN-08438, J7; J9, , 1X08_NO_SILK
2, CONN-10204, J8; J10, , 1X08_SMD_COMBINED
1, CONN-08437, J11, , 1X06_NO_SILK
1, CONN-10203, J12, , 1X06_SMD_STRAIGHT_COMBO
1, CONN-13694, J13, QWIIC_RIGHT_ANGLE, JST04_1MM_RA
1, CONN-16110, J15, MICRO-SD-PUSH-PUSH-EXT-PIN, MICROSD-EXTERNALPIN
1, CONN-11443, JP2, LiPo, JST-2-SMD
1, TRANS-13337, Q1, MBT3904DW1T1, SC70-6
1, TRANS-13337, Q2, , SC70-6
6, TRANS-14388, Q3; Q5; Q7; Q9; Q11; Q13, 20V/4.2A/52mΩ/1.4W, SOT23-3
5, TRANS-14386, Q4; Q6; Q8; Q10; Q12, , SOT363_PHILIPS
13, RES-00824, R1; R6; R7; R8; R12; R13; R14; R15; R17; R19; R23; R24; R26, 10k, 0603
2, RES-12083, R2; R3, 5.1k, 0603
3, RES-07857, R4; R5; R9, 4.7k, 0603
1, RES-07849, R10, 240, 0603
1, RES-07850, R11, 715, 0603
5, RES-07871, R16; R18; R20; R25; R27, 47k, 0603
1, RES-07856, R21, 1k, 0603
1, RES-08296, R22, 2.0k, 0603
2, RES-08272, R28; R29, 2.2k, 0603
1, RES-07863, R30, 100, 0603
1, SWCH-14139, S1, Reset, TACTILE_SWITCH_SMD_5.2MM
1, SWCH-14139, S2, GPIO0, TACTILE_SWITCH_SMD_5.2MM
1, IC-15676, U1, ESP-WROOM-3232D-NARROW, ESP-WROOM-32D-NARROW
1, IC-14038, U2, CH340C, SO016
1, VREG-08170, U3, LM1117, SOT223
1, VREG-12457, U4, 3.3V, SOT23-5
1, IC-09995, U5, MCP73831, SOT23-5
1, IC-12551, U6, MAX17048, DFN-8
